"date"	"discharge"
2013-12-07	6.870625
2013-12-08	6.78583333333333
2013-12-09	6.69458333333333
2013-12-10	6.65291666666667
2013-12-11	6.61916666666667
2013-12-12	6.51291666666667
2013-12-13	6.42541666666667
2013-12-14	6.39791666666667
2013-12-15	6.32916666666667
2013-12-16	6.27291666666667
2013-12-17	6.23
2013-12-18	6.23083333333333
2013-12-19	6.26083333333333
2013-12-20	9.39708333333333
2013-12-21	15.2833333333333
2013-12-22	16.6958333333333
2013-12-23	16.4375
2013-12-24	15.7958333333333
2013-12-25	16.4125
2013-12-26	28.7166666666667
2013-12-27	35.7916666666667
2013-12-28	35.475
2013-12-29	34.0958333333333
2013-12-30	33.55
2013-12-31	31.975
2014-01-01	29.675
2014-01-02	27.0541666666667
2014-01-03	26.7
2014-01-04	27.8833333333333
2014-01-05	29.55
2014-01-06	31.8916666666667
2014-01-07	31.9583333333333
2014-01-08	31.0791666666667
2014-01-09	29.4458333333333
2014-01-10	27.3666666666667
2014-01-11	24.9875
2014-01-12	22.9
2014-01-13	21.3583333333333
2014-01-14	20.35
2014-01-15	19.7916666666667
2014-01-16	19.475
2014-01-17	21.9083333333333
2014-01-18	29.7458333333333
2014-01-19	42.1833333333333
2014-01-20	55.2916666666667
2014-01-21	58.5625
2014-01-22	58.8166666666667
2014-01-23	57.8208333333333
2014-01-24	56.5291666666667
2014-01-25	55.0666666666667
2014-01-26	53.2583333333333
2014-01-27	51.2416666666667
2014-01-28	48.9791666666667
2014-01-29	46.9083333333333
2014-01-30	45.7375
2014-01-31	47.1
2014-02-01	44.4208333333333
2014-02-02	42.1291666666667
2014-02-03	40.5625
2014-02-04	39.2708333333333
2014-02-05	41.6208333333333
2014-02-06	48.0125
2014-02-07	49.8583333333333
2014-02-08	53.0833333333333
2014-02-09	55.9166666666667
2014-02-10	58.3083333333333
2014-02-11	60.5083333333333
2014-02-12	61.3875
2014-02-13	60.95
2014-02-14	60.0166666666667
2014-02-15	58.75
2014-02-16	58.9166666666667
2014-02-17	59.2291666666667
2014-02-18	58.975
2014-02-19	57.7375
2014-02-20	56.3375
2014-02-21	55.2166666666667
2014-02-22	53.9458333333333
2014-02-23	52.7375
2014-02-24	51.2083333333333
2014-02-25	49.5375
2014-02-26	47.9958333333333
2014-02-27	47.7833333333333
2014-02-28	47.6416666666667
2014-03-01	47.3916666666667
2014-03-02	47.0541666666667
2014-03-03	46.9166666666667
2014-03-04	46.55
2014-03-05	45.4708333333333
2014-03-06	44.3166666666667
2014-03-07	43.1791666666667
2014-03-08	42.1166666666667
2014-03-09	41.1583333333333
2014-03-10	40.6041666666667
2014-03-11	40.0458333333333
2014-03-12	39.25
2014-03-13	38.4541666666667
2014-03-14	37.6875
2014-03-15	37.1083333333333
2014-03-16	36.8541666666667
2014-03-17	36.6666666666667
2014-03-18	36.4416666666667
2014-03-19	36.0708333333333
2014-03-20	35.5666666666667
2014-03-21	34.925
2014-03-22	34.2958333333333
2014-03-23	34.825
2014-03-24	36.2791666666667
2014-03-25	36.6291666666667
2014-03-26	36.2708333333333
2014-03-27	35.5041666666667
2014-03-28	34.3208333333333
2014-03-29	32.8875
2014-03-30	31.5208333333333
2014-03-31	30.3708333333333
2014-04-01	29.525
2014-04-02	28.8166666666667
2014-04-03	28.1958333333333
2014-04-04	27.6541666666667
2014-04-05	27
2014-04-06	26.3375
2014-04-07	25.7041666666667
2014-04-08	25.1333333333333
2014-04-09	24.7583333333333
2014-04-10	24.275
2014-04-11	23.8375
2014-04-12	23.3666666666667
2014-04-13	22.9708333333333
2014-04-14	22.5791666666667
2014-04-15	22.2208333333333
2014-04-16	21.7708333333333
2014-04-17	21.3
2014-04-18	20.9375
2014-04-19	20.6291666666667
2014-04-20	20.2916666666667
2014-04-21	19.9291666666667
2014-04-22	19.6791666666667
2014-04-23	19.3458333333333
2014-04-24	19.0458333333333
2014-04-25	18.8916666666667
2014-04-26	18.7833333333333
2014-04-27	18.6833333333333
2014-04-28	18.5375
2014-04-29	18.375
2014-04-30	18.1875
2014-05-01	18
2014-05-02	17.8166666666667
2014-05-03	17.6083333333333
2014-05-04	17.3916666666667
2014-05-05	17.2208333333333
2014-05-06	16.9708333333333
2014-05-07	16.775
2014-05-08	16.5583333333333
2014-05-09	16.35
2014-05-10	16.1625
2014-05-11	15.925
2014-05-12	15.7708333333333
2014-05-13	15.5708333333333
2014-05-14	15.3666666666667
2014-05-15	15.1833333333333
2014-05-16	15.0041666666667
2014-05-17	14.8041666666667
2014-05-18	14.6875
2014-05-19	14.5333333333333
2014-05-20	14.4041666666667
2014-05-21	14.2666666666667
2014-05-22	14.1875
2014-05-23	14.025
2014-05-24	13.8875
2014-05-25	13.7208333333333
2014-05-26	13.5791666666667
2014-05-27	13.4708333333333
2014-05-28	13.3791666666667
2014-05-29	13.2208333333333
2014-05-30	13.0916666666667
2014-05-31	12.9791666666667
2014-06-01	12.8833333333333
2014-06-02	12.7583333333333
2014-06-03	12.6208333333333
2014-06-04	12.4916666666667
2014-06-05	12.3875
2014-06-06	12.2208333333333
2014-06-07	12.0833333333333
2014-06-08	11.9208333333333
2014-06-09	11.7875
2014-06-10	11.6833333333333
2014-06-11	11.6791666666667
2014-06-12	11.6333333333333
2014-06-13	11.5916666666667
2014-06-14	11.5375
2014-06-15	11.4541666666667
2014-06-16	11.3708333333333
2014-06-17	11.35
2014-06-18	11.6333333333333
2014-06-19	11.6875
2014-06-20	11.5375
2014-06-21	11.35
2014-06-22	11.125
2014-06-23	10.95
2014-06-24	10.8083333333333
